,RSI
1272,46.56
1273,64.85
1274,73.69
1275,74.28
1276,51.8
1277,45.09
1278,51.7
1279,41.65
1280,40.0
1281,49.68
1282,46.15
1283,34.24
1284,37.45
1285,54.3
1286,63.0
1287,52.65
1288,63.9
1289,68.34
1290,67.8
1291,61.26
1292,62.35
1293,47.7
1294,43.02
1295,39.25
1296,47.52
1297,34.39
1298,17.83
1299,5.25
1300,32.45
1301,33.62
1302,43.0
1303,39.17
1304,41.0
1305,53.98
1306,51.66
1307,63.03
1308,71.41
1309,61.68
1310,58.89
1311,55.82
1312,58.97
1313,59.06
1314,58.11
1315,72.09
1316,66.56
1317,54.68
1318,55.95
1319,68.7
1320,71.53
1321,84.6
1322,55.35
1323,12.89
1324,20.49
1325,51.16
1326,53.39
1327,62.21
1328,61.7
1329,59.32
1330,58.56
1331,85.86
1332,89.53
1333,89.0
1334,70.19
1335,66.89
1336,69.77
1337,73.33
1338,70.59
1339,72.95
1340,50.35
1341,46.29
1342,41.15
1343,52.29
1344,51.12
1345,41.38
1346,45.82
1347,51.17
1348,51.24
1349,51.01
1350,38.72
1351,42.31
1352,27.07
1353,34.85
1354,34.34
1355,26.81
1356,28.43
1357,19.06
1358,21.34
1359,30.35
1360,50.13
1361,37.36
1362,37.3
1363,33.67
1364,26.99
1365,29.7
1366,41.4
1367,43.62
1368,40.49
1369,24.44
1370,39.14
1371,24.69
1372,24.86
1373,30.3
1374,24.15
1375,2.17
1376,2.02
1377,2.18
1378,7.69
1379,4.37
1380,5.56
1381,23.97
1382,19.37
1383,24.26
1384,30.15
1385,31.66
1386,28.45
1387,42.94
1388,57.59
1389,61.0
1390,53.71
1391,69.12
1392,68.57
1393,60.56
1394,61.9
1395,58.76
1396,57.0
1397,57.43
1398,44.65
1399,44.08
1400,38.55
1401,49.09
1402,60.54
1403,54.14
1404,67.74
1405,64.16
1406,52.47
1407,56.7
1408,62.38
1409,65.43
1410,46.16
1411,38.7
1412,48.47
1413,33.17
1414,42.05
1415,37.75
1416,44.33
1417,43.69
1418,51.44
1419,51.91
1420,58.01
1421,57.01
1422,42.01
1423,32.59
1424,55.19
1425,44.09
1426,42.39
1427,40.91
1428,46.45
1429,33.09
1430,35.68
1431,34.62
1432,44.04
1433,46.61
1434,45.8
1435,40.73
1436,36.47
1437,40.65
1438,54.74
1439,38.73
1440,53.95
1441,47.9
1442,31.89
1443,33.44
1444,30.67
1445,25.72
1446,18.68
1447,12.24
1448,14.1
1449,31.62
1450,29.94
1451,26.29
1452,34.8
1453,36.42
1454,47.55
1455,48.14
1456,49.53
1457,54.67
1458,33.13
1459,32.23
1460,57.27
1461,48.52
1462,55.73
1463,49.73
1464,54.57
1465,67.02
1466,56.22
1467,56.9
1468,65.25
1469,45.53
1470,45.23
1471,29.07
1472,41.45
1473,34.81
1474,28.01
1475,38.02
1476,38.13
1477,25.5
1478,37.91
1479,46.52
1480,52.48
1481,47.82
1482,46.29
1483,52.62
1484,51.32
1485,56.41
1486,71.66
1487,68.15
1488,57.91
1489,56.55
1490,47.38
1491,68.84
1492,56.87
1493,61.84
1494,64.72
1495,55.19
1496,39.05
1497,40.81
1498,35.54
1499,44.3
1500,40.16
1501,51.65
1502,52.01
1503,55.77
1504,60.75
1505,54.26
1506,57.5
1507,56.31
1508,48.68
1509,46.31
1510,29.64
1511,4.04
1512,12.79
1513,7.16
1514,26.42
1515,25.61
1516,26.77
1517,32.59
1518,36.75
1519,56.97
1520,48.18
1521,40.08
1522,47.63
1523,41.18
1524,42.14
1525,51.04
1526,58.97
1527,55.26
1528,32.92
1529,40.25
1530,49.09
1531,45.01
1532,30.92
1533,31.86
1534,27.26
1535,5.78
1536,4.84
1537,23.13
1538,20.34
1539,16.56
1540,17.04
1541,17.2
1542,15.8
1543,26.24
1544,24.59
1545,31.97
1546,17.23
1547,38.38
1548,40.86
1549,53.69
1550,66.08
1551,72.55
1552,72.77
1553,87.4
1554,80.63
1555,92.09
1556,91.29
1557,83.18
1558,79.43
1559,81.64
1560,74.86
1561,53.12
1562,52.76
1563,62.49
1564,67.68
1565,61.36
1566,62.67
1567,53.25
1568,47.51
1569,60.11
1570,75.72
1571,65.63
1572,63.51
1573,56.46
1574,56.24
1575,45.23
1576,58.43
1577,51.12
1578,44.37
1579,52.98
1580,56.1
1581,49.28
1582,53.16
1583,52.18
1584,73.97
1585,76.33
1586,88.04
1587,87.87
1588,74.45
1589,84.18
1590,76.17
1591,71.99
1592,59.91
1593,56.62
1594,42.83
1595,55.35
1596,48.54
1597,50.55
1598,34.1
1599,38.47
1600,51.6
1601,50.19
1602,55.48
1603,61.4
1604,61.28
1605,63.65
1606,64.24
1607,73.56
1608,77.28
1609,70.64
1610,88.7
1611,87.0
1612,82.96
1613,71.43
1614,37.6
1615,32.51
1616,20.6
1617,25.23
1618,34.4
1619,21.0
1620,19.15
1621,19.19
1622,29.62
1623,34.48
1624,46.37
1625,43.93
1626,43.72
1627,30.9
1628,49.55
1629,42.05
1630,41.32
1631,28.98
1632,28.64
1633,36.96
1634,43.95
1635,55.11
1636,75.24
1637,75.0
1638,92.02
1639,94.35
1640,88.7
1641,94.76
1642,94.14
1643,93.92
1644,88.82
1645,85.66
1646,86.06
1647,83.93
1648,85.21
1649,95.4
1650,83.07
1651,75.68
1652,80.58
1653,83.58
1654,66.8
1655,70.34
1656,71.98
1657,56.75
1658,38.12
1659,47.46
1660,52.93
1661,49.67
1662,59.26
1663,67.04
1664,63.78
1665,60.24
1666,68.98
1667,93.51
1668,81.63
1669,52.43
1670,46.0
1671,31.12
1672,42.46
1673,47.56
1674,51.01
1675,53.07
1676,54.67
1677,60.98
1678,91.08
1679,97.57
1680,97.37
1681,97.09
1682,72.79
1683,73.39
1684,61.54
1685,53.88
1686,50.73
1687,55.42
1688,39.54
1689,36.66
1690,23.46
1691,26.69
1692,33.08
1693,45.62
1694,52.9
1695,58.96
1696,55.94
1697,61.74
1698,62.75
1699,91.97
1700,98.18
1701,89.54
1702,89.06
1703,86.41
1704,66.24
1705,70.96
1706,58.67
1707,52.2
1708,40.07
1709,31.95
1710,48.77
1711,32.74
1712,37.56
1713,40.65
1714,36.17
1715,51.18
1716,57.52
1717,65.95
1718,74.8
1719,70.46
1720,87.45
1721,87.12
1722,91.15
1723,90.7
1724,88.14
1725,77.14
1726,62.25
1727,68.74
1728,63.98
1729,75.87
1730,58.46
1731,58.53
1732,53.82
1733,45.79
1734,56.2
1735,57.67
1736,36.87
1737,43.92
1738,46.93
1739,61.98
1740,53.61
1741,51.89
1742,60.98
1743,43.57
1744,47.03
1745,58.16
1746,58.82
1747,50.27
1748,50.4
1749,48.48
1750,54.77
1751,40.27
1752,69.46
1753,67.11
1754,69.77
1755,67.0
1756,69.29
1757,65.6
1758,62.92
1759,66.12
1760,94.08
1761,57.75
1762,70.03
1763,54.11
1764,34.98
1765,25.73
1766,21.98
1767,22.36
1768,23.95
1769,17.65
1770,18.76
1771,19.95
1772,30.66
1773,42.64
1774,38.28
1775,36.93
1776,34.91
1777,38.86
1778,44.82
1779,55.65
1780,48.59
1781,51.14
1782,53.5
1783,82.89
1784,88.54
1785,95.62
1786,80.04
1787,85.04
1788,73.3
1789,72.05
1790,68.46
1791,64.76
1792,52.13
1793,58.2
1794,69.75
1795,82.74
1796,81.19
1797,91.92
1798,94.36
1799,93.4
1800,93.14
1801,97.76
1802,97.73
1803,97.19
1804,100.0
1805,69.93
1806,75.83
1807,67.52
1808,66.12
1809,66.39
1810,65.18
1811,64.04
1812,51.85
1813,51.11
1814,74.07
1815,65.12
1816,60.2
1817,63.88
1818,69.52
1819,66.76
1820,65.44
1821,83.67
1822,82.24
1823,58.74
1824,63.51
1825,74.94
1826,70.3
1827,65.5
1828,71.4
1829,71.27
1830,39.74
1831,42.83
1832,63.18
1833,43.9
1834,51.75
1835,41.61
1836,38.79
1837,24.57
1838,22.05
1839,43.59
1840,40.68
1841,42.33
1842,44.22
1843,34.96
1844,39.82
1845,38.46
1846,47.83
1847,40.21
1848,24.13
1849,22.43
1850,9.82
1851,9.81
1852,34.55
1853,31.93
1854,31.98
1855,43.97
1856,59.08
1857,41.89
1858,40.81
1859,46.19
1860,49.34
1861,46.56
1862,52.87
1863,58.04
1864,57.17
1865,56.62
1866,80.0
1867,98.39
1868,88.87
1869,71.37
1870,58.69
1871,42.15
1872,42.24
1873,16.41
1874,8.49
1875,3.85
1876,1.35
1877,1.34
1878,13.02
1879,37.51
1880,49.65
1881,51.34
1882,54.32
1883,77.49
1884,85.54
1885,89.87
1886,74.19
1887,71.67
1888,64.31
1889,47.57
1890,57.77
1891,60.92
1892,59.36
1893,60.2
1894,58.18
1895,73.03
1896,73.27
1897,75.85
1898,85.64
1899,81.51
1900,76.77
1901,68.75
1902,69.91
1903,69.59
1904,44.67
1905,40.05
1906,17.44
1907,19.31
1908,25.57
1909,25.31
1910,21.71
1911,14.2
1912,14.26
1913,18.47
1914,25.44
1915,21.85
1916,40.54
1917,25.55
1918,28.27
1919,51.96
1920,55.64
1921,63.53
1922,65.83
1923,66.83
1924,72.83
1925,68.97
1926,87.02
1927,85.6
1928,79.46
1929,79.65
1930,74.7
1931,97.71
1932,97.48
1933,91.13
1934,71.68
1935,78.08
1936,73.71
1937,73.25
1938,69.19
1939,58.81
1940,60.3
1941,51.28
1942,64.81
1943,74.19
1944,64.29
1945,71.94
1946,70.49
1947,70.82
1948,85.27
1949,83.97
1950,91.17
1951,86.35
1952,55.99
1953,67.85
1954,66.67
1955,65.91
1956,68.9
1957,61.76
1958,52.6
1959,53.3
1960,52.8
1961,74.75
1962,68.62
1963,69.26
1964,83.22
1965,80.14
1966,77.17
1967,77.7
1968,79.91
1969,68.88
1970,55.83
1971,52.14
1972,35.27
1973,7.02
1974,34.03
1975,35.12
1976,37.24
1977,30.0
1978,44.57
1979,43.17
1980,39.58
1981,63.88
1982,68.11
1983,61.24
1984,60.31
1985,61.42
1986,75.5
1987,68.52
1988,87.73
1989,96.36
1990,94.04
1991,85.71
1992,86.63
1993,92.64
1994,59.84
1995,67.0
1996,70.72
1997,68.87
1998,62.33
1999,54.98
2000,60.07
2001,56.02
2002,53.85
2003,85.21
2004,83.04
2005,84.49
2006,76.27
2007,73.77
2008,64.44
2009,65.22
2010,75.98
2011,72.73
2012,70.35
2013,74.24
2014,66.22
2015,67.3
2016,75.96
2017,86.72
2018,84.3
2019,80.98
2020,87.18
2021,55.23
2022,53.17
2023,66.55
2024,68.67
2025,67.28
2026,62.26
2027,67.75
2028,71.74
2029,71.88
2030,97.08
2031,96.96
2032,90.35
2033,83.8
2034,85.01
2035,85.01
2036,85.98
2037,48.63
2038,39.78
2039,36.85
2040,39.49
2041,49.3
2042,39.77
2043,37.94
2044,47.58
2045,39.05
2046,44.12
2047,55.68
2048,57.67
2049,43.72
2050,42.47
2051,48.05
2052,40.2
2053,20.22
2054,32.07
2055,42.45
2056,38.7
2057,39.34
2058,52.11
2059,52.79
2060,60.2
2061,66.05
2062,91.01
2063,89.97
2064,81.78
2065,82.21
2066,83.99
2067,80.24
2068,77.32
2069,73.03
2070,79.28
2071,68.75
2072,35.6
2073,41.02
2074,32.56
2075,44.59
2076,29.98
2077,37.48
2078,53.28
2079,57.71
2080,57.55
2081,74.44
2082,78.26
2083,79.27
2084,78.56
2085,98.9
2086,96.12
2087,79.11
2088,62.64
2089,63.35
2090,61.23
2091,56.57
2092,38.56
2093,41.8
2094,33.23
2095,31.6
2096,31.84
2097,47.03
2098,51.58
2099,39.16
2100,28.77
2101,31.46
2102,26.29
2103,38.13
2104,43.15
2105,59.32
2106,34.61
2107,28.34
2108,28.77
2109,31.34
2110,32.22
2111,28.16
2112,30.53
2113,23.33
2114,11.95
2115,35.5
2116,28.81
2117,39.44
2118,47.47
2119,46.35
2120,53.44
2121,44.54
2122,52.5
2123,45.4
2124,43.59
2125,66.62
2126,67.12
2127,69.1
2128,77.38
2129,75.9
2130,82.89
2131,89.39
2132,92.38
2133,78.26
2134,66.83
2135,63.93
2136,52.81
2137,44.46
2138,34.59
2139,46.16
2140,37.5
2141,54.61
2142,58.73
2143,59.12
2144,50.41
2145,43.11
2146,36.83
