,RSI
1034,37.54
1035,31.25
1036,38.82
1037,38.82
1038,47.09
1039,41.0
1040,34.44
1041,57.14
1042,72.48
1043,81.82
1044,91.33
1045,87.8
1046,87.18
1047,69.52
1048,71.64
1049,73.49
1050,68.09
1051,68.42
1052,73.86
1053,48.78
1054,51.83
1055,34.65
1056,49.78
1057,53.53
1058,54.1
1059,48.35
1060,49.46
1061,49.29
1062,57.38
1063,64.86
1064,85.22
1065,75.58
1066,55.23
1067,47.55
1068,47.09
1069,47.85
1070,40.98
1071,34.39
1072,21.1
1073,20.7
1074,20.8
1075,21.35
1076,18.12
1077,23.1
1078,14.54
1079,15.16
1080,47.54
1081,43.32
1082,37.17
1083,43.23
1084,63.25
1085,66.3
1086,69.65
1087,55.0
1088,63.03
1089,55.17
1090,42.86
1091,36.78
1092,27.41
1093,25.32
1094,29.82
1095,20.16
1096,39.32
1097,37.62
1098,37.91
1099,39.28
1100,48.23
1101,49.72
1102,55.8
1103,53.98
1104,65.67
1105,59.65
1106,63.2
1107,55.64
1108,70.08
1109,56.47
1110,73.98
1111,50.63
1112,44.05
1113,50.78
1114,50.0
1115,57.86
1116,63.25
1117,58.63
1118,73.62
1119,67.78
1120,84.82
1121,90.64
1122,88.89
1123,70.0
1124,68.12
1125,67.72
1126,59.12
1127,52.2
1128,56.86
1129,54.37
1130,53.8
1131,48.41
1132,64.75
1133,56.64
1134,52.43
1135,76.09
1136,85.58
1137,78.88
1138,86.38
1139,84.06
1140,55.64
1141,43.13
1142,40.71
1143,50.22
1144,43.29
1145,23.45
1146,31.13
1147,40.16
1148,34.27
1149,48.94
1150,66.15
1151,69.26
1152,65.06
1153,70.49
1154,81.66
1155,79.34
1156,67.86
1157,88.4
1158,88.14
1159,68.24
1160,68.24
1161,61.18
1162,59.59
1163,60.67
1164,67.8
1165,60.3
1166,54.86
1167,58.85
1168,70.06
1169,51.06
1170,45.93
1171,42.79
1172,45.09
1173,36.55
1174,52.0
1175,43.56
1176,42.42
1177,29.08
1178,34.43
1179,40.33
1180,46.15
1181,36.77
1182,34.97
1183,20.0
1184,29.89
1185,14.61
1186,40.54
1187,34.88
1188,50.45
1189,48.11
1190,46.12
1191,59.55
1192,72.57
1193,66.37
1194,80.51
1195,74.64
1196,72.22
1197,57.78
1198,55.98
1199,63.16
1200,54.66
1201,41.92
1202,36.09
1203,28.29
1204,30.35
1205,37.36
1206,41.51
1207,44.3
1208,48.79
1209,45.34
1210,56.59
1211,51.05
1212,30.21
1213,26.96
1214,29.72
1215,24.7
1216,22.92
1217,8.56
1218,4.82
1219,20.91
1220,31.56
1221,33.33
1222,52.4
1223,38.74
1224,46.33
1225,56.83
1226,60.68
1227,59.14
1228,46.25
1229,52.43
1230,62.81
1231,53.03
1232,72.51
1233,72.99
1234,63.93
1235,67.66
1236,70.82
1237,89.86
1238,88.2
1239,86.45
1240,93.06
1241,75.0
1242,71.57
1243,83.94
1244,85.71
1245,87.85
1246,88.83
1247,87.98
1248,84.71
1249,87.01
1250,79.38
1251,75.52
1252,56.28
1253,63.13
1254,59.18
1255,51.61
1256,46.43
1257,40.21
1258,35.98
1259,47.85
1260,52.15
1261,72.22
1262,64.57
1263,55.07
1264,65.18
1265,52.34
1266,64.01
1267,68.19
1268,70.61
1269,70.04
1270,44.21
1271,39.29
1272,38.32
1273,25.25
1274,56.81
1275,60.68
1276,59.83
1277,63.05
1278,64.34
1279,80.19
1280,81.08
1281,79.65
1282,86.54
1283,79.41
1284,63.43
1285,53.25
1286,44.62
1287,21.33
1288,26.22
1289,22.79
1290,26.56
1291,36.11
1292,45.67
1293,49.15
1294,49.79
1295,49.13
1296,57.36
1297,46.34
1298,48.36
1299,39.45
1300,43.01
1301,30.08
1302,33.33
1303,34.76
1304,43.28
1305,59.19
1306,72.34
1307,67.38
1308,83.07
1309,71.25
1310,79.78
1311,75.0
1312,80.79
1313,74.05
1314,50.31
1315,50.31
1316,53.29
1317,47.37
1318,43.78
1319,32.12
1320,36.97
1321,27.17
1322,40.18
1323,53.19
1324,56.44
1325,61.09
1326,68.72
1327,80.87
1328,85.85
1329,73.73
1330,86.32
1331,78.61
1332,77.95
1333,66.67
1334,48.47
1335,54.1
1336,47.0
1337,39.74
1338,47.33
1339,50.36
1340,60.0
1341,56.46
1342,42.78
1343,53.61
1344,32.42
1345,36.52
1346,35.52
1347,35.91
1348,48.9
1349,46.54
1350,49.54
1351,65.85
1352,60.71
1353,71.83
1354,69.57
1355,76.43
1356,79.49
1357,40.0
1358,54.01
1359,43.79
1360,50.0
1361,63.81
1362,68.02
1363,69.95
1364,63.78
1365,46.53
1366,40.14
1367,33.85
1368,35.8
1369,20.73
1370,6.58
1371,15.55
1372,12.11
1373,11.11
1374,21.57
1375,39.48
1376,41.99
1377,41.76
1378,44.71
1379,54.95
1380,57.73
1381,64.46
1382,58.5
1383,52.49
1384,38.89
1385,33.73
1386,33.04
1387,35.31
1388,19.7
1389,14.52
1390,34.57
1391,40.04
1392,40.11
1393,47.85
1394,53.46
1395,52.73
1396,62.26
1397,78.23
1398,63.67
1399,50.73
1400,71.39
1401,71.99
1402,73.58
1403,62.24
1404,68.9
1405,62.5
1406,61.13
1407,73.21
1408,56.91
1409,25.69
1410,24.92
1411,15.13
1412,23.85
1413,37.14
1414,36.91
1415,31.41
1416,42.93
1417,51.72
1418,67.11
1419,71.13
1420,76.92
1421,72.93
1422,60.67
1423,72.73
1424,85.71
1425,74.34
1426,64.24
1427,54.22
1428,49.18
1429,38.41
1430,37.66
1431,44.93
1432,54.22
1433,61.81
1434,64.85
1435,73.46
1436,74.52
1437,82.45
1438,73.54
1439,75.96
1440,76.22
1441,71.05
1442,60.71
1443,57.69
1444,46.34
1445,72.53
1446,77.14
1447,85.26
1448,60.0
1449,48.39
1450,43.66
1451,43.66
1452,58.97
1453,61.54
1454,56.04
1455,57.33
1456,67.56
1457,78.76
1458,92.15
1459,80.39
1460,73.61
1461,71.78
1462,75.32
1463,75.54
1464,72.5
1465,62.71
1466,60.99
1467,57.99
1468,77.45
1469,85.28
1470,77.71
1471,70.16
1472,70.63
1473,67.94
1474,79.53
1475,90.74
1476,90.68
1477,72.88
1478,71.17
1479,78.18
1480,78.38
1481,81.25
1482,87.59
1483,84.26
1484,84.82
1485,62.96
1486,68.55
1487,67.77
1488,48.39
1489,45.28
1490,33.33
1491,48.96
1492,49.74
1493,48.42
1494,49.2
1495,51.63
1496,54.82
1497,75.38
1498,79.8
1499,85.44
1500,78.77
1501,75.59
1502,74.38
1503,99.0
1504,94.12
1505,45.11
1506,38.79
1507,50.73
1508,47.94
1509,45.81
1510,54.55
1511,58.02
1512,54.79
1513,51.07
1514,77.89
1515,77.66
1516,65.0
1517,65.73
1518,78.33
1519,73.99
1520,74.0
1521,79.05
1522,91.41
1523,77.24
1524,56.97
1525,66.67
1526,70.78
1527,58.38
1528,49.75
1529,39.25
1530,40.84
1531,33.77
1532,43.78
1533,50.25
1534,45.41
1535,43.26
1536,56.86
1537,60.73
1538,65.91
1539,56.15
1540,75.8
1541,60.9
1542,68.07
1543,72.54
1544,48.51
1545,36.95
1546,37.5
1547,45.89
1548,57.96
1549,60.69
1550,67.74
1551,65.67
1552,57.29
1553,89.55
1554,89.55
1555,69.36
1556,54.94
1557,57.56
1558,58.76
1559,57.56
1560,56.14
1561,59.44
1562,55.43
1563,56.07
1564,64.24
1565,71.32
1566,15.99
1567,20.71
1568,18.86
1569,15.53
1570,11.75
1571,26.62
1572,26.43
1573,33.22
1574,33.62
1575,56.55
1576,35.84
1577,42.89
1578,53.13
1579,64.4
1580,62.78
1581,67.85
1582,71.24
1583,71.16
1584,71.16
1585,97.46
1586,89.84
1587,76.03
1588,75.13
1589,65.2
1590,60.77
1591,52.98
1592,54.49
1593,56.97
1594,61.21
1595,70.39
1596,77.54
1597,80.38
1598,83.33
1599,86.9
1600,83.96
1601,83.96
1602,82.35
1603,85.98
1604,78.41
1605,90.4
1606,91.32
1607,90.69
1608,85.33
1609,60.0
1610,62.38
1611,67.66
1612,64.32
1613,73.85
1614,73.73
1615,63.07
1616,64.09
1617,47.74
1618,69.71
1619,63.45
1620,57.28
1621,59.07
1622,50.99
1623,60.87
1624,62.86
1625,58.02
1626,79.33
1627,49.18
1628,58.85
1629,63.21
1630,64.55
1631,66.67
1632,62.23
1633,62.83
1634,58.25
1635,43.43
1636,36.39
1637,45.12
1638,43.48
1639,29.08
1640,42.68
1641,43.97
1642,47.65
1643,54.5
1644,63.32
1645,66.17
1646,63.0
1647,54.18
1648,59.4
1649,41.32
1650,47.48
1651,42.11
1652,34.2
1653,41.74
1654,54.14
1655,53.76
1656,64.77
1657,53.61
1658,69.5
1659,70.7
1660,73.42
1661,74.65
1662,68.44
1663,63.37
1664,61.86
1665,51.43
1666,71.01
1667,44.97
1668,25.0
1669,11.9
1670,9.05
1671,23.29
1672,21.15
1673,22.6
1674,30.33
1675,22.89
1676,35.87
1677,39.76
1678,54.19
1679,50.0
1680,42.22
1681,48.02
1682,40.55
1683,32.95
1684,44.51
1685,44.76
1686,39.23
1687,30.13
1688,54.99
1689,57.52
1690,62.28
1691,66.28
1692,59.83
1693,64.86
1694,54.94
1695,60.61
1696,63.8
1697,52.83
1698,54.73
1699,41.53
1700,44.47
1701,64.74
1702,55.76
1703,61.99
1704,54.98
1705,41.99
1706,70.14
1707,71.65
1708,79.13
1709,84.84
1710,80.65
1711,77.61
1712,77.26
1713,79.09
1714,80.27
1715,73.93
1716,68.52
1717,74.12
1718,68.1
1719,78.26
1720,72.73
1721,74.84
1722,69.1
1723,67.75
1724,63.33
1725,53.61
1726,48.17
1727,50.14
1728,34.91
1729,24.67
1730,20.61
1731,29.37
1732,30.56
1733,26.43
1734,41.8
1735,49.75
1736,42.22
1737,53.46
1738,54.26
1739,51.79
1740,41.03
1741,51.18
1742,37.33
1743,28.59
1744,23.33
1745,22.84
1746,32.08
1747,38.65
1748,33.88
1749,37.05
1750,25.42
1751,37.26
1752,32.53
1753,35.07
1754,45.59
1755,45.93
1756,47.87
1757,58.89
1758,55.06
1759,59.18
1760,63.18
1761,80.37
1762,85.13
1763,84.49
1764,52.87
1765,56.61
1766,51.61
1767,47.39
1768,44.52
1769,38.7
1770,27.62
1771,33.27
1772,32.98
1773,62.93
1774,49.81
1775,49.06
1776,53.83
1777,55.08
1778,51.38
1779,39.16
1780,34.2
1781,23.67
1782,11.55
1783,20.68
1784,19.21
1785,28.16
1786,25.52
1787,23.43
1788,23.36
1789,21.57
1790,22.71
1791,30.39
1792,30.88
1793,30.04
1794,32.94
1795,42.26
1796,42.39
1797,62.4
1798,71.98
1799,71.0
1800,50.52
1801,43.5
1802,51.91
1803,42.06
1804,42.25
1805,49.76
1806,44.3
1807,32.77
1808,38.1
1809,57.27
1810,69.46
1811,54.43
1812,66.89
1813,70.13
1814,70.0
1815,61.84
1816,60.14
1817,40.65
1818,38.65
1819,34.76
1820,44.33
1821,30.29
1822,17.05
1823,7.36
1824,33.58
1825,33.62
1826,43.62
1827,37.5
1828,35.74
1829,49.3
1830,47.86
1831,52.34
1832,65.67
1833,57.09
1834,56.65
1835,54.18
1836,57.37
1837,62.75
1838,61.11
1839,76.36
1840,76.08
1841,61.58
1842,61.69
1843,73.99
1844,69.3
1845,80.92
1846,56.18
1847,11.33
1848,18.18
1849,48.57
1850,50.14
1851,57.66
1852,58.48
1853,60.41
1854,58.02
1855,82.17
1856,88.56
1857,87.96
1858,69.38
1859,62.22
1860,67.8
1861,69.64
1862,69.64
1863,76.32
1864,54.71
1865,47.24
1866,45.43
1867,56.59
1868,59.64
1869,47.49
1870,55.01
1871,60.8
1872,56.21
1873,68.78
1874,50.62
1875,52.73
1876,30.89
1877,39.25
1878,41.6
1879,34.49
1880,35.61
1881,27.59
1882,29.14
1883,38.93
1884,56.15
1885,44.33
1886,40.86
1887,34.9
1888,26.34
1889,27.72
1890,39.63
1891,41.91
1892,40.11
1893,21.62
1894,37.42
1895,33.68
1896,28.41
1897,35.59
1898,37.15
1899,10.96
1900,10.23
1901,11.96
1902,19.52
1903,12.77
1904,11.62
1905,30.65
1906,25.54
1907,25.27
1908,30.42
1909,28.66
1910,24.64
1911,35.97
1912,46.92
1913,52.99
1914,45.11
